Variant,desorbtion_per_FW_root,desorbtion_per_DW_root,desorbtion_per_DWCW_root
10 mkM,7.645114317397555,135.8272073504249,277.37202849643796
10 mkM,7.218266913917562,128.24360710948,278.6132696527688
10 mkM,7.479533681660726,132.88541283830605,267.82596881272195
His 0.5 mM,6.63546820257783,117.88929216764028,249.3915202907329
His 0.5 mM,6.766601434186401,120.21907559542976,251.97932665824177
His 0.5 mM,6.375586969303308,113.27210258839033,230.77576447522375
His 1 mM,5.322527541200206,94.56288316340604,216.33499038426646
His 1 mM,5.071518246011598,90.10331720153657,211.99976018226147
His 1 mM,4.466914590821266,79.3616039152509,182.80795534361022
Tr 10 mkM,1.3180175479986573,22.042189707759192,57.87332677165354
Tr 10 mkM,1.1962705617808367,20.006124125297102,56.80817351818753
Tr 10 mkM,1.2166377578396996,20.34673992364233,55.16395869677967
Tr His 1 mM,1.3141616224432102,22.321997360054645,51.61847834036225
Tr His 1 mM,1.0912083279840203,18.534972411722165,59.03826771653544
Tr His 1 mM,1.184480000356997,20.119260058630253,48.32404533248373
Tr Gln 5 mM,1.428906440293738,24.04007685924904,54.565842427591285
Tr Gln 5 mM,1.3014381283857437,21.895536160869252,48.60751854837043
Tr Gln 5 mM,1.298367746950086,21.843879730735697,52.98367365096311
10 mkM,0.9513707157293799,15.527930471382884,36.434722529710314
10 mkM,0.9283313462689043,15.151890173766102,36.98964458172009
10 mkM,1.1316873803289071,18.47099418402461,42.7282716535433
Gln  1 mM,1.2630279078128928,20.614687010729412,49.39341282339706
Gln  1 mM,1.2185159110617776,19.88817821739974,48.0213735783027
Gln  1 mM,1.1155599472990778,18.207768025568512,41.68418461538461
Gln 5 mM,1.049427926756797,17.128384983884995,41.75553698016488
Gln 5 mM,1.0689063327293833,17.446304516865162,40.29528291521698
Gln 5 mM,1.1232021460020805,18.332501242753718,41.598474730718
Pretrit His 0.5 mM,1.344441829065752,21.943495736619017,47.09566327464881
Pretrit His 0.5 mM,1.3009543097578433,21.23370809545915,41.29480776779735
Pretrit His 0.5 mM,1.1997073162372656,19.581191100946903,46.23517195834391
Pretrit His 1 mM,1.2420949778359518,20.27302726036063,56.978014242243624
Pretrit His 1 mM,1.043202882754214,17.02678205575692,50.495538815770765
Pretrit His 1 mM,1.213008065934886,19.798281151236683,46.23517195834391
10 mkM,0.8043576538031203,13.968436529226858,31.73518176369686
10 mkM,0.8761645709746348,15.21543201702669,34.419602687278775
10 mkM,0.8742085960490009,15.181464650057164,33.91139107611548
Pretrit Gln  1 mM,1.019973721435755,17.70593935070075,40.67721005842012
Pretrit Gln  1 mM,0.9746532785825541,16.91921220700912,37.89001651389321
Pretrit Gln  1 mM,0.9139681643883736,15.865766486956629,32.18029269901473
Pretrit Gln 5 mM,1.0491076545336844,18.118628553052506,41.06314960629922
Pretrit Gln 5 mM,1.0525418416990682,18.177938730956892,39.154556511205335
Pretrit Gln 5 mM,0.8262600393572972,14.269935670233677,38.099493611202796
10 mkM,0.9741596085670222,17.307442851983847,36.64223194322932
10 mkM,0.7879105627734752,13.998442265262682,30.426546224869103
