Variant,Copper_content_per_FW_root,Copper_content_per_DW_root
Control,0.08433442899424806,1.57138509119651
Control,0.06875800660664023,1.2198238098678031
Control,0.07489164671480784,1.3345080421220776
10 mkM,0.6554195988058743,10.772894284011235
10 mkM,0.699399622514069,11.46512354915179
10 mkM,0.5996306899961592,9.966795624499033
Gln 1 mM,0.18363203884446525,3.0791229073052415
Gln 1 mM,0.43933846111172076,7.308129458849491
Gln 1 mM,0.3502425785759831,5.978652879756277
Gln 5 mM,0.07161429392232406,1.1812904431560205
Gln 5 mM,0.06481281137337597,1.1236004009433962
Gln 5 mM,0.11175564170184844,1.9223178541817412
100 mkM,3.922225435185126,52.971594064203515
100 mkM,3.8556100821204153,53.18845711646442
100 mkM,3.999162598580379,57.42948403357598
His 0.5 mM 100 mkM,1.3072181832254128,17.618705215614007
His 0.5 mM 100 mkM,0.9742652980937344,13.540122609507142
His 0.5 mM 100 mkM,0.6854750083919169,9.653087167920475
His 1 mM 100 mkM,0.7458493007419444,10.613085150557522
His 1 mM 100 mkM,0.8137354125830482,11.596562237165784
His 1 mM 100 mkM,1.0231717384816696,13.95205743697176
Control,0.06287350982437515,1.038445163756023
Control,0.06642957831007555,1.0743139025590553
Control,0.061215447150469525,0.9963597779463887
10 mkM,0.38853137953624267,5.843132893220664
10 mkM,0.349328875687685,5.2645449424659985
10 mkM,0.4512834874154068,6.986128116694045
Gln 1 mM,0.17925873503082565,2.6578213436501126
Gln 1 mM,0.19239452654106748,2.9822432536146026
Gln 1 mM,0.22171792671281546,3.351772855059784
Gln 5 mM,0.10505808726983806,1.6369982965032595
Gln 5 mM,0.11152167781519669,1.7416218938116215
Gln 5 mM,0.1026607140520542,1.5929054762707187
10 mkM,0.5164747815285652,9.135865024371952
10 mkM,0.3766310379243323,6.274436087335867
10 mkM,0.507570262411477,8.396841378165174
His 0.5 mM,0.21792782213496523,3.7861193062157548
His 0.5 mM,0.23738959899217227,4.237209760371757
His 0.5 mM,0.1980899559430687,3.480865536992067
His 1 mM,0.19753275207599774,3.4004013205146384
His 1 mM,0.1502365820278678,2.551942495414543
His 1 mM,0.15342756587481846,2.5709351246537078
Control,0.06275165126569922,1.115243545138253
Control,0.06298594974449971,1.1804270378512332
Control,0.08449373687683116,1.5764526365087417
Control,0.052544025490793476,0.9370651121346132
Control,0.057913707450450214,0.9774415522759659
Control,0.052776891014729606,0.9176002079575875
10 mkM,0.4609986888882784,7.497578008597007
10 mkM,0.50758934394824,8.410012229871384
10 mkM,0.5236193719040693,9.024538317673626
10 mkM,0.510146583872138,7.664661622508912
10 mkM,4.7334918451409305,6.959336844474689
10 mkM,0.4637065375589152,6.803043143861089
50 mkM,2.005782716589955,28.0183751081848
50 mkM,1.9177244287664048,26.33817388234115
50 mkM,1.9038084401754345,27.105817559831113
100 mkM,3.128705864174783,47.34169777753891
100 mkM,3.3777900959599516,48.98065862349607
100 mkM,3.3162954904040367,46.05301491674196
Control,0.06576393222493954,1.0493059669922813
Control,0.039745367967160494,0.6462192975181077
Control,0.07892889053573571,1.2941049344088336
Gln 1 mM 100 mkM,0.9991780413000849,14.018955323362777
Gln 1 mM 100 mkM,1.0249140382131263,14.583181477416812
Gln 1 mM 100 mkM,0.7030911698031141,9.881842559553474
Gln 5 mM 100 mkM,0.4628776925899953,6.678135551548067
Gln 5 mM 100 mkM,0.39005671173072126,5.7547572343953695
Gln 5 mM 100 mkM,0.41204336826832955,5.659015438511841
Control,0.08305091920928462,1.3618525455395
Control,0.05968090976691593,0.9603317238271264
Control,0.0517545277441293,0.8094896284781126
10 mkM,0.529624578263735,7.730784952662168
10 mkM,0.3797017296954036,5.692638479805995
10 mkM,0.44423706632217225,6.706958466829578
Gln 1 mM,0.22124892719888128,3.4477084010896752
Gln 1 mM,0.198458369824912,2.9763705642443545
Gln 1 mM,0.15529742721246978,2.3646621583552068
Gln 5 mM,0.08538121760395624,1.339604809533944
Gln 5 mM,0.07986606234794237,1.1943852439167453
Gln 5 mM,0.06614089577437163,1.0421827128559866
Gln 5 mM 50 mkM,0.21428526328349448,3.306441585791124
Gln 5 mM 50 mkM,0.21314418385653977,3.3410287609493663
Gln 5 mM 50 mkM,0.2160649251282007,3.273134484227208
100 mkM,3.922225435185126,52.971594064203515
100 mkM,3.8556100821204153,53.18845711646442
100 mkM,3.999162598580379,57.42948403357598
His 0.5 mM 100 mkM,1.3070772530275432,17.61680575640811
His 0.5 mM 100 mkM,0.7079635912595988,9.839120666083405
His 0.5 mM 100 mkM,0.6854750083919169,9.653087167920475
His 1 mM 100 mkM,0.7458493007419444,10.613085150557522
His 1 mM 100 mkM,0.8137354125830482,11.596562237165784
His 1 mM 100 mkM,1.0852221321824569,14.798181918659251
