Variant,Copper_content_per_FW_shoot,Copper_content_per_DW_shoot
100 mkM,0.10637078228797406,1.049311777156556
100 mkM,0.08507856145410732,0.860102910798881
100 mkM,0.09062928214199613,0.8863236575581654
His 0.5 mM 100 mkM,0.07991183189300824,0.7878418173007087
His 0.5 mM 100 mkM,0.07007751206434382,0.6923972362621468
His 0.5 mM 100 mkM,0.10890144123585008,1.0845007881927344
His 1 mM 100 mkM,0.06405475076745275,0.635359272409874
His 1 mM 100 mkM,0.056598368606287926,0.5619524632276736
His 1 mM 100 mkM,0.0842869851909224,0.8205227104408412
Control,0.025168090761620916,0.24804052305961752
Control,0.0252291081898489,0.24074152704272622
Control,0.1044476047858684,1.008912209990776
10 mkM,0.043121195069405205,0.4221080037041655
10 mkM,0.06276022156003248,0.5998891828864835
10 mkM,0.061076103575039446,0.593502110998222
Gln 1 mM,0.04166829120957131,0.3969214819524772
Gln 1 mM,0.032811940152698456,0.3225640217343401
Gln 1 mM,0.03377509791087148,0.3295410751932156
Gln 5 mM,0.023151136081716588,0.21791352809350437
Gln 5 mM,0.026196736540643514,0.25506905196995133
Gln 5 mM,0.025824604013089118,0.24338200673650853
Control,0.033125137044164414,0.3261711755357831
Control,0.019869793120970137,0.19275112828884192
Control,0.025805672715857344,0.25397583007792623
10 mkM,0.026869818921619812,0.24967242450088972
10 mkM,0.03624086717585191,0.33398856975356395
10 mkM,0.0500671348444042,0.47833840039665537
Gln 1 mM,0.03945327790516673,0.3743189532367614
Gln 1 mM,0.03718222672581833,0.3519872332469593
Gln 1 mM,0.035208639400482945,0.32732205037699197
Gln 5 mM,0.03222095255273082,0.31111242169258646
Gln 5 mM,0.03995968500022091,0.3894720700021531
10 mkM,0.035256220652690955,0.3394465177101423
10 mkM,0.052100738579189246,0.5218164034716934
10 mkM,0.08245442276243621,0.805988100467844
His 0.5  mM,0.03582689760047766,0.3526504650163146
His 0.5  mM,0.029102568273127627,0.2791967508583014
His 0.5  mM,0.04448926606289922,0.43628895132426626
His 1  mM,0.03076705459211137,0.3022833643316137
His 1  mM,0.028388043653820562,0.2771257621868507
His 1  mM,0.034631238751588994,0.32125140661721385
Control,0.032113326824601655,0.32412688345847945
Control,0.025488028095440124,0.25433846281951145
Control,0.025483288979943702,0.25386360061223
Control,0.05027129427020803,0.5130726810193226
Control,0.02173161609021496,0.2133489287558629
Control,0.03485894346474278,0.3582941316802844
10 mkM,0.035314548765856726,0.3487842373738221
10 mkM,0.032034657273019206,0.3192520688865958
10 mkM,0.032917716327330426,0.3393959378150014
Control,0.03390034510150837,0.32598896752206397
Control,0.038186981732787464,0.3672096762018336
Control,0.02982533819855201,0.2868033105925444
Gln 1 mM 100 mkM,0.05494980976765955,0.5286778151760884
Gln 1 mM 100 mkM,0.04843003050584458,0.46595034314041006
Gln 1 mM 100 mkM,0.043638409936221416,0.4198496650013549
Gln 5 mM 100 mkM,0.046703924191902585,0.44817878162313474
Gln 5 mM 100 mkM,0.0518016474659136,0.4970973991810628
Gln 5 mM 100 mkM,0.05782968491604075,0.5549434694357979
10 mkM,0.03758366938945715,0.3851790427279827
10 mkM,0.04597344131865064,0.45036901384619343
10 mkM,0.04970457095967561,0.501826102864025
50 mkM,0.06417171315717962,0.6446130858065817
50 mkM,0.05346881667654774,0.528004564680909
50 mkM,0.1029263979495408,1.021661461465044
100 mkM,0.08722765227908191,0.870180823723783
100 mkM,0.09536769027962885,0.9616658192595036
100 mkM,0.07821799064385357,0.7628227191628927
