Variant,copper_per_FW_SHOOT,copper_per_DW_SHOOT,copper_per_DWCW_SHOOT
10 mkM,0.6138239543263668,6.022744374907625,12.5526998659742
10 mkM,0.5371864715717968,5.270789413042853,10.37633225534308
10 mkM,0.5632119409345652,5.526147236901261,11.16521254336215
50 mkM,3.1075378228927995,30.490673768474583,63.50572015454589
50 mkM,3.4069454277828504,33.42841423208207,74.31246963928648
50 mkM,2.8764237536889192,28.22301876666344,62.40241532308461
100 mkM,4.927462300667163,48.34748732880752,107.81880291279384
100 mkM,4.392281863597397,43.09638081169568,86.9709837406688
100 mkM,4.6423708155639725,45.55021438737655,106.66931922107474
10 mkM,0.8868398529147459,8.701533555248481,NA
10 mkM,0.7220018975773332,7.084169388727501,NA
10 mkM,0.7822657733336033,7.6754690865692465,NA
50 mkM,3.875468482642344,38.02548896870797,NA
50 mkM,3.99630807668386,39.21114811438006,NA
50 mkM,3.698238718485296,36.28653831743454,NA
100 mkM,7.440728953011874,73.00726557037788,NA
100 mkM,7.628997959103931,74.85453153225251,NA
100 mkM,8.247402960087596,80.92222441852397,NA
Tr 10 mkM,0.5553508170659357,5.340306682004951,10.7835875984252
Tr 10 mkM,0.5286050255510737,5.083116587468059,10.35851287154604
Tr 10 mkM,0.4952831424729178,4.762690166202641,9.732471196550025
Tr His 1 mM,0.4369107797455775,4.203563896570907,9.244174944753158
Tr His 1 mM,0.4545620556670886,4.373388651719504,9.287335504582165
Tr His 1 mM,0.43313572984050813,4.167243750160367,9.184687782525712
Tr Gln 5 mM,0.5229054559514043,5.017889485890824,10.48094978485496
Tr Gln 5 mM,0.5196689728647436,4.986831645000122,10.621667773456029
Tr Gln 5 mM,0.57664784826425,5.533610601943416,11.759647516688148
Tr 10 mkM,0.400909402405538,3.8551832368884633,7.431560292123603
Tr 10 mkM,0.5343148125031316,5.138022446027874,11.07837448053368
Tr 10 mkM,0.5602900344269075,5.38780266952511,11.212261055811416
Tr His 1 mM,0.41809039528806186,4.022491027022424,7.962443679914779
Tr His 1 mM,0.4415102468965294,4.247815846752736,8.433617110810786
Tr His 1 mM,0.44592509682376025,4.290291575490061,9.262216056948104
