Variant,FW.root,FW.shoot,DW.root,DW.shoot,hydration.root,hydration.shoot
10 mkM,1.4083,2.2354,0.07926699446462038,0.2278267152127315,16.766537125721012,8.811843171740028
10 mkM,1.3624,2.0966,0.07668348594660145,0.2136805453677252,16.766537125721012,8.811843171740028
10 mkM,1.3676,2.086,0.07697617100746633,0.2126002182758155,16.766537125721012,8.811843171740028
Gln 1 mM,1.1172,1.6986,0.06288225961504927,0.17311732059602122,16.766537125721012,8.811843171740028
Gln 1 mM,1.2973,1.9406,0.07301929412692751,0.19778139193962013,16.766537125721015,8.811843171740028
Gln 1 mM,1.3421,1.8387,0.07554088849745581,0.18739598338626173,16.766537125721012,8.811843171740028
Gln 5 mM,1.2612,1.9091,0.07098738437746165,0.19457098595894504,16.766537125721012,8.81184317174003
Gln 5 mM,1.1458,1.7934,0.06449202744980617,0.18277911383310047,16.766537125721012,8.811843171740028
Gln 5 mM,1.2011,1.8751,0.06760462050092704,0.1911057858528196,16.766537125721012,8.811843171740028
10 mkM,1.31,2.411,0.0797,0.2463,15.436637390213304,8.788875355257815
10 mkM,1.1852,2.143,0.0723,0.2242,15.39280774550484,8.558429973238178
10 mkM,1.3879,2.2593,0.0835,0.2325,15.621556886227545,8.7174193548387091
Gln 1 mM,1.546,2.3681,0.0922,0.2486,15.767895878524945,8.525744167337088
Gln 1 mM,1.3058,2.1077,0.0785,0.2144,15.6343949044586,8.830690298507463
Gln 1 mM,1.4868,2.3602,0.0871,0.2419,16.070034443168772,8.756924348904505
Gln 5 mM,1.539,2.4407,0.0933,0.2593,15.4951768488746,8.412649440802161
Gln 5 mM,1.4701,2.1187,0.0848,0.2176,16.33608490566038,8.736672794117647
Gln 5 mM,1.5911,2.2072,0.0925,0.2342,16.20108108108108,8.424423569598634
Control,1.4664,2.2076,0.0787,0.224,17.632782719186782,8.855357142857141
Control,1.547,2.3283,0.0872,0.244,16.740825688073393,8.542213114754098
Control,1.6162,2.383,0.0907,0.2467,16.819184123484014,8.659505472233482
Control,1.6672,2.3744,0.0938,0.242,16.773987206823026,8.811570247933885
Control,1.5412,2.3014,0.0867,0.2346,16.776239907727795,8.80988917306053
Control,1.456,2.0052,0.082,0.2044,16.756097560975608,8.810176125244618
Control,1.2303,1.8428,0.0692,0.1878,16.778901734104046,8.812566560170394
Control,1.3203,1.9081,0.0743,0.1945,16.76985195154778,8.810282776349615
Control,1.3206,1.7477,0.0743,0.1781,16.77388963660834,8.813026389668726
Control,1.4946,2.1239,0.0841,0.2165,16.771700356718192,8.810161662817553
Control,1.587,2.0431,0.0893,0.2082,16.771556550951846,8.81316042267051
Control,1.4063,1.9831,0.0792,0.2021,16.75631313131313,8.812469074715487
Control,1.452,2.2629,0.0817,0.2242,16.77233782129743,9.09322033898305
Control,1.4768,2.2532,0.0788,0.2258,17.741116751269036,8.978742249778566
Control,1.6512,2.2524,0.0885,0.2261,17.65762711864407,8.961963732861566
10 mkM,1.1144,2.174,0.063,0.2258,16.68888888888889,8.627989371124889
10 mkM,1.2178,2.2575,0.0731,0.2254,15.6593707250342,9.015527950310558
10 mkM,1.206,2.0762,0.0729,0.2124,15.543209876543209,8.774952919020716
His 0.5 mM,1.131,1.9834,0.0651,0.2015,16.37327188940092,8.84317617866005
His 0.5 mM,1.6332,2.4665,0.0915,0.2571,16.849180327868854,8.593543368339168
His 0.5 mM,1.4005,2.3732,0.0797,0.242,16.57214554579674,8.806611570247934
His 1 mM,1.5097,2.5643,0.0877,0.261,16.21436716077537,8.824904214559385
His 1 mM,1.4727,2.4083,0.0867,0.2467,15.986159169550172,8.76205918119173
His 1 mM,1.5701,2.3061,0.0937,0.2486,15.756670224119528,8.27634754625905
100 mkM,0.73740000000000006,1.5744,0.0546,0.1596,12.505494505494505,8.86466165413534
100 mkM,0.6732,1.477,0.0488,0.1461,12.795081967213115,9.109514031485284
100 mkM,0.7611,1.5002,0.053,0.1534,13.360377358490565,8.779661016949152
"100 mkM His 0,5 mM",0.9502,1.6139,0.0705,0.1637,12.478014184397164,8.858888210140499
"100 mkM His 0,5 mM",0.9381,1.5868,0.0675,0.1606,12.897777777777778,8.880448318804483
"100 mkM His 0,5 mM",0.821,1.3215,0.0583,0.1327,13.082332761578044,8.958553127354934
100 mkM His 1 mM,1.0601,1.9104,0.0745,0.1926,13.229530201342284,8.919003115264799
100 mkM His 1mM,1.0446,1.7425,0.0733,0.1755,13.251023192360162,8.92877492877493
100 mkM His 1 mM,0.8918,1.4797,0.0654,0.152,12.636085626911315,8.734868421052633
100 mkM,0.73740000000000006,1.5744,0.0546,0.1596,12.505494505494505,8.86466165413534
100 mkM,0.6732,1.477,0.0488,0.1461,12.795081967213115,9.109514031485284
100 mkM,0.7611,1.5002,0.053,0.1534,13.360377358490565,8.779661016949152
"100 mkM His 0,5 mM",0.9502,1.6139,0.0705,0.1637,12.478014184397164,8.858888210140499
"100 mkM His 0,5 mM",0.9381,1.5868,0.0675,0.1606,12.897777777777778,8.880448318804483
"100 mkM His 0,5 mM",0.821,1.3215,0.0583,0.1327,13.082332761578044,8.958553127354934
100 mkM His 1 mM,1.0601,1.9104,0.0745,0.1926,13.229530201342284,8.919003115264799
100 mkM His 1mM,1.0446,1.7425,0.0733,0.1755,13.251023192360162,8.92877492877493
100 mkM His 1 mM,0.8918,1.4797,0.0654,0.152,12.636085626911315,8.734868421052633
Control,1.4664,2.2076,0.0787,0.224,17.632782719186782,8.855357142857141
Control,1.547,2.3283,0.0872,0.244,16.740825688073393,8.542213114754098
Control,1.6162,2.383,0.0907,0.2467,16.819184123484014,8.659505472233482
10 mkM,0.9809,1.9543,0.0672,0.1933,13.59672619047619,9.110191412312467
10 mkM,1.1829,2.0366,0.0789,0.2066,13.99239543726236,8.857696030977735
10 mkM,1.0508,1.9523,0.0696,0.1935,14.097701149425287,9.08940568475452
Gln 1 mM,1.3152,2.0775,0.0844,0.2102,14.58293838862559,8.883444338725024
Gln 1 mM,1.1788,2.0241,0.0786,0.2023,13.997455470737913,9.005437469105289
Gln 1 mM,1.3704,2.2727,0.09,0.2307,14.226666666666667,8.851322063285652
Gln 5 mM,1.5674,2.294,0.0999,0.2273,14.689689689689688,9.0923889133304
Gln 5 mM,1.325,1.9919,0.0886,0.1978,13.954853273137697,9.070273003033368
Gln 5 mM,1.3488,2.0293,0.0856,0.2004,14.757009345794394,9.12624750499002
Control,1.4922,2.2606,0.091,0.2206,15.397802197802198,9.247506799637353
Control,1.5013,2.2095,0.0933,0.2193,15.09110396570204,9.075239398084815
Control,1.4593,2.2956,0.0933,0.228,14.640943193997858,9.068421052631576
50 mkM Gln 5,1.1588,1.8353,0.0751,0.1852,14.430093209054595,8.909827213822894
50 mkM Gln 5,1.3214,2.1625,0.0843,0.2146,14.674970344009488,9.076887232059645
50 mkM Gln 5,1.4452,2.2201,0.0954,0.2268,14.148846960167717,8.788800705467372
10 mkM,0.9225,1.7976,0.0614,0.1754,14.024429967426709,9.248574686431015
10 mkM,0.10718,1.8995,0.0729,0.1939,0.4702331961591219,8.79628674574523
10 mkM,0.9008,1.7426,0.0614,0.1726,13.67100977198697,9.096176129779836
50 mkM,0.8954,1.9588,0.0641,0.195,12.968798751950075,9.045128205128204
50 mkM,0.8625,1.9829,0.0628,0.2008,12.734076433121022,8.875
50 mkM,0.9824,1.9217,0.069,0.1936,13.237681159420289,8.926136363636363
100 mkM,0.8867,1.8685,0.0586,0.1873,14.131399317406144,8.975974372664176
100 mkM,0.9063,1.7334,0.0625,0.1719,13.5008,9.083769633507854
100 mkM,0.8471,1.8364,0.061,0.1883,12.88688524590164,8.752522570366438
10 mkM,1.0484,1.621,0.05900981111745226,0.16520851094204073,16.766537125721012,8.811843171740028
10 mkM,1.3585,2.0316,0.07646397215095278,0.20705589810601477,16.766537125721012,8.811843171740028
10 mkM,1.3661,1.945,0.07689174262452454,0.19822982960041283,16.766537125721012,8.81184317174003
50 mkM,1.2945,1.8858,0.0728616944787695,0.1921963047097473,16.766537125721012,8.811843171740028
50 mkM,1.3364,1.861,0.07522006064227699,0.18966874698527933,16.766537125721012,8.811843171740028
50 mkM,1.3189,1.9852,0.07423506284128938,0.2023269191376553,16.766537125721012,8.811843171740028
100 mkM,1.1037,1.6519,0.06212240416857311,0.16835776633260768,16.766537125721012,8.811843171740028
100 mkM,1.0421,1.4711,0.05865521190909671,0.14993105518003463,16.766537125721012,8.811843171740028
100 mkM,1.1056,1.6029,0.06222934678696605,0.16336380147377982,16.766537125721012,8.811843171740028
Control,1.1066,1.7271,0.067,0.1754,15.516417910447762,8.846636259977195
Control,1.1644,1.9091,0.072,0.1968,15.172222222222224,8.700711382113822
Control,1.2077,1.9044,0.0742,0.1935,15.276280323450134,8.841860465116278
10 mkM,1.2332,2.2217,0.082,0.2391,14.039024390243902,8.291928063571726
10 mkM,1.3262,2.3915,0.088,0.2595,14.070454545454545,8.215799614643545
10 mkM,1.0759,2.0369,0.0695,0.2132,14.480575539568347,8.553939962476548
Gln 1 mM,1.198,2.1129,0.0808,0.2227,13.826732673267326,8.487651549169284
Gln 1 mM,1.1641,2.0798,0.0751,0.2197,14.500665778961384,8.466545289030496
Gln 1 mM,1.2245,2.1029,0.081,0.2262,14.117283950617283,8.296640141467728
Gln 5 mM,1.3042,1.9765,0.0837,0.2047,14.58183990442055,8.655593551538837
Gln 5 mM,1.2759,2.0047,0.0817,0.2088,14.616891064871481,8.601053639846743
Gln 5 mM,1.1963,1.8772,0.0771,0.1926,14.51621271076524,8.7466251298027
Control,1.0415,1.5452,0.0584,0.1514,16.833904109589042,9.206076618229854
