Variant;pH_after_sorbtion.shoot
10 mkM;4,58
10 mkM;4,52
10 mkM;5,38
10 mkM;4,14
10 mkM;3,93
10 mkM;4,23
10 mkM;4,39
10 mkM;3,92
10 mkM;4,30
10 mkM;4,76
10 mkM;4,57
10 mkM;5,11
10 mkM;4,58
10 mkM;4,52
10 mkM;5,38
100 mkM;4,38
100 mkM;4,39
100 mkM;4,69
100 mkM;4,38
100 mkM;4,39
100 mkM;4,69
100 mkM His 0,5 mM;4,87
100 mkM His 0,5 mM;4,93
100 mkM His 0,5 mM;4,88
100 mkM His 1 mM;4,85
100 mkM His 1 mM;4,80
100 mkM His 1 mM;4,92
30 mkM;3,90
30 mkM;3,94
30 mkM;3,81
50 mkM;4,83
50 mkM;4,79
50 mkM;4,70
50 mkM;4,83
50 mkM;4,79
50 mkM;4,70
Control;4,95
Control;4,96
Control;4,97
Control;4,98
Control;4,99
Control;5,00
Control;5,01
Control;5,02
Control;5,03
Control;5,04
Control;5,05
Gln 1 mM;4,46
Gln 1 mM;4,49
Gln 1 mM;5,97
Gln 1 mM;5,55
Gln 1 mM;5,15
Gln 1 mM;5,45
Gln 15 mM;4,34
Gln 15 mM;4,35
Gln 15 mM;4,65
Gln 5 mM;5,81
Gln 5 mM;4,70
Gln 5 mM;5,67
Gln 5 mM;6,19
Gln 5 mM;6,31
Gln 5 mM;6,35
His 0,5 mM;5,13
His 0,5 mM;5,05
His 0,5 mM;5,31
His 1 mM;4,82
His 1 mM;5,06
His 1 mM;4,91
His 3 mM;4,30
His 3 mM;4,52
His 3 mM;4,38
Tr 10 mkM;4,40
Tr 10 mkM;4,80
Tr 10 mkM;4,03
Tr 10 mkM;3,97
Tr 10 mkM;4,17
Tr 10 mkM;4,12
Tr Gln 5 mM;6,40
Tr Gln 5 mM;6,84
Tr Gln 5 mM;6,46
Tr Gln 5 mM;4,52
Tr Gln 5 mM;4,21
Tr Gln 5 mM;4,21
Tr His 1 mM;5,60
Tr His 1 mM;5,54
Tr His 1 mM;5,20
Tr His 1 mM;4,11
Tr His 1 mM;4,28
Tr His 1 mM;4,32
