Variant;desorbtion_per_FW_root;desorbtion_per_DW_root;desorbtion_per_DWCW_root;treatment
10 mkM;0,951370715729380;15,52793047138288;36,4347225297103;10 mkM
10 mkM;0,928331346268904;15,15189017376610;36,9896445817201;10 mkM
10 mkM;1,131687380328907;18,47099418402461;42,7282716535433;10 mkM
10 mkM;0,804357653803120;13,96843652922686;31,7351817636969;10 mkM
10 mkM;0,876164570974635;15,21543201702669;34,4196026872788;10 mkM
10 mkM;0,874208596049001;15,18146465005716;33,9113910761155;10 mkM
10 mkM;0,974159608567022;17,30744285198385;36,6422319432293;10 mkM
10 mkM;0,787910562773475;13,99844226526268;30,4265462248691;10 mkM
10 mkM;0,908249809413231;16,13645395836920;33,6612135247800;10 mkM
10 mkM;0,900134751949949;14,44111667093452;34,6739407574053;10 mkM
10 mkM;0,886251114247512;14,21837754055037;34,3561574803150;10 mkM
10 mkM;0,746907183277282;11,98284340505727;28,8435267813746;10 mkM
10 mkM;0,707225656293923;12,56495087880839;29,4771653543307;10 mkM
10 mkM;0,760566978180414;13,51264145443976;30,6854928474255;10 mkM
10 mkM;0,819291338582677;14,55596998371080;33,9854184893555;10 mkM
10 mkM;0,981164245046661;17,43189098605153;40,2849447900645;10 mkM
10 mkM;1,016497611903034;18,05964256008200;41,5878782719728;10 mkM
10 mkM;0,940032656783652;16,70112509613692;37,3717634132943;10 mkM
100 mkM;6,274608820780409;111,47807056377168;241,8952075435015;100 mkM
100 mkM;6,173190958707567;109,67622635204329;233,7257955115161;100 mkM
100 mkM;7,645114317397555;135,82720735042491;277,3720284964380;100 mkM
100 mkM;7,218266913917562;128,24360710948000;278,6132696527688;100 mkM
100 mkM;7,479533681660726;132,88541283830605;267,8259688127220;100 mkM
100 mkM;6,474052850723503;107,60186017639410;204,3874536344114;100 mkM
100 mkM;6,883134242366046;114,40098890135754;221,8620313970187;100 mkM
100 mkM;6,219087469355007;103,36421338103810;203,8461775407658;100 mkM
100 mkM Gln 1 mM;6,072913192655161;100,93472686841493;208,3279800420987;100 mkM Gln 1 mM
100 mkM Gln 1 mM;6,204758141106502;103,12605308019270;203,8985933797110;100 mkM Gln 1 mM
100 mkM Gln 1 mM;5,544350052094898;92,14975423128156;188,0235677436872;100 mkM Gln 1 mM
100 mkM Gln 5 mM;5,567014022369336;92,52644027582620;187,7746599856836;100 mkM Gln 5 mM
100 mkM Gln 5 mM;6,389462583480353;106,19592940658828;214,5272502701868;100 mkM Gln 5 mM
100 mkM Gln 5 mM;5,871969012869810;97,59493832558471;191,5332570608161;100 mkM Gln 5 mM
100 mkM His 0.5 mM;6,635468202577830;117,88929216764028;249,3915202907329;100 mkM His 0.5 mM
100 mkM His 0.5 mM;6,766601434186401;120,21907559542976;251,9793266582417;100 mkM His 0.5 mM
100 mkM His 0.5 mM;6,375586969303308;113,27210258839033;230,7757644752238;100 mkM His 0.5 mM
100 mkM His 1 mM;5,322527541200206;94,56288316340604;216,3349903842665;100 mkM His 1 mM
100 mkM His 1 mM;5,071518246011598;90,10331720153656;211,9997601822615;100 mkM His 1 mM
100 mkM His 1 mM;4,466914590821266;79,36160391525090;182,8079553436102;100 mkM His 1 mM
50 mkM;4,370883676953529;77,65546711880285;166,3306446016282;50 mkM
50 mkM;4,146219315453325;73,66395939938305;160,9849384211589;50 mkM
50 mkM;4,615457626823465;82,00069927915129;168,6273761234391;50 mkM
Gln 1 mM;1,263027907812893;20,61468701072941;49,3934128233971;Gln 1 mM
Gln 1 mM;1,218515911061778;19,88817821739974;48,0213735783027;Gln 1 mM
Gln 1 mM;1,115559947299078;18,20776802556851;41,6841846153846;Gln 1 mM
Gln 1 mM;0,843524784128807;13,53290692981298;31,9638779527559;Gln 1 mM
Gln 1 mM;0,874267814252735;14,02612606603225;32,9757078237561;Gln 1 mM
Gln 1 mM;0,870756595005309;13,96979458155233;32,7969667379968;Gln 1 mM
Gln 1 mM;1,034079461871778;18,37201115029054;40,1136657917760;Gln 1 mM
Gln 1 mM;0,864212929215190;15,35407109142978;34,0773079960750;Gln 1 mM
Gln 1 mM;0,835365049602016;14,84154416728400;31,4045779571671;Gln 1 mM
Gln 1 mM;1,347501667186707;21,65908725290552;50,0861991529037;Gln 1 mM
Gln 1 mM;1,171384428010329;18,82826429887836;47,5132779635422;Gln 1 mM
Gln 1 mM;1,306377580272089;20,99807865575893;50,1211981954213;Gln 1 mM
Gln 5 mM;1,049427926756797;17,12838498388500;41,7555369801649;Gln 5 mM
Gln 5 mM;1,068906332729383;17,44630451686516;40,2952829152170;Gln 5 mM
Gln 5 mM;1,123202146002080;18,33250124275372;41,5984747307180;Gln 5 mM
Gln 5 mM;0,858398733346498;13,77153390821252;34,2280069781697;Gln 5 mM
Gln 5 mM;0,904899669201081;14,51756158743384;35,2468106624287;Gln 5 mM
Gln 5 mM;0,847353243909052;13,59432799397779;32,5781828847325;Gln 5 mM
Gln 5 mM;1,100522586912602;19,55247539807727;39,9993973087658;Gln 5 mM
Gln 5 mM;1,154496023134131;20,51139645650980;45,6145359761064;Gln 5 mM
Gln 5 mM;1,122007713401822;19,93419169549882;41,7227078813291;Gln 5 mM
Gln 5 mM;1,153564075232954;18,54182860452516;45,2339337719771;Gln 5 mM
Gln 5 mM;1,034959251537759;16,63543228043529;36,8895225144211;Gln 5 mM
Gln 5 mM;1,034532475343605;16,62857248719589;41,7347913015575;Gln 5 mM
His 0.5 mM;0,927523598686960;16,47888245105423;38,1649593131962;His 0.5 mM
His 0.5 mM;0,846004338073964;15,03056748091212;34,2631756919956;His 0.5 mM
His 0.5 mM;0,879777862842110;15,63060606257184;34,3738060848903;His 0.5 mM
His 0.5 mM;1,081473272446331;17,38307605845419;42,3004345192637;His 0.5 mM
His 0.5 mM;1,101188065027154;17,69996205798878;42,6365087414921;His 0.5 mM
His 0.5 mM;0,566760367628233;9,10983084687186;20,7056454306848;His 0.5 mM
His 1 mM;0,659617668225033;11,71912179130157;27,8492815516704;His 1 mM
His 1 mM;0,649476802167215;11,53895371799838;25,8325735598840;His 1 mM
His 1 mM;0,705941374052982;12,54213363069481;27,2737734706239;His 1 mM
His 1 mM;0,972003192506427;15,62350716830868;37,0444656201414;His 1 mM
His 1 mM;0,984976084612397;15,83202713447122;40,0764304461942;His 1 mM
His 1 mM;1,023621447775823;16,45319393007481;41,0542525695738;His 1 mM
Pretrit Gln  1 mM;1,019973721435755;17,70593935070075;40,6772100584201;Pretrit Gln  1 mM
Pretrit Gln  1 mM;0,974653278582554;16,91921220700912;37,8900165138932;Pretrit Gln  1 mM
Pretrit Gln  1 mM;0,913968164388374;15,86576648695663;32,1802926990147;Pretrit Gln  1 mM
Pretrit Gln 5 mM;1,049107654533684;18,11862855305250;41,0631496062992;Pretrit Gln 5 mM
Pretrit Gln 5 mM;1,052541841699068;18,17793873095689;39,1545565112053;Pretrit Gln 5 mM
Pretrit Gln 5 mM;0,826260039357297;14,26993567023368;38,0994936112028;Pretrit Gln 5 mM
Pretrit His 0.5 mM;1,344441829065752;21,94349573661902;47,0956632746488;Pretrit His 0.5 mM
Pretrit His 0.5 mM;1,300954309757843;21,23370809545915;41,2948077677974;Pretrit His 0.5 mM
Pretrit His 0.5 mM;1,199707316237266;19,58119110094690;46,2351719583439;Pretrit His 0.5 mM
Pretrit His 1 mM;1,242094977835952;20,27302726036063;56,9780142422436;Pretrit His 1 mM
Pretrit His 1 mM;1,043202882754214;17,02678205575692;50,4955388157708;Pretrit His 1 mM
Pretrit His 1 mM;1,213008065934886;19,79828115123668;46,2351719583439;Pretrit His 1 mM
Tr 10 mkM;1,318017547998657;22,04218970775919;57,8733267716535;Tr 10 mkM
Tr 10 mkM;1,196270561780837;20,00612412529710;56,8081735181875;Tr 10 mkM
Tr 10 mkM;1,216637757839700;20,34673992364233;55,1639586967797;Tr 10 mkM
Tr 10 mkM;0,883475007324590;14,43773102813128;28,4290477690289;Tr 10 mkM
Tr 10 mkM;0,995951759753528;16,27582388307732;28,6342402665662;Tr 10 mkM
Tr 10 mkM;0,975230845821692;15,93720311902099;30,5581093872700;Tr 10 mkM
Tr 10 mkM;1,349565518452462;22,05457290666570;36,4806839145107;Tr 10 mkM
Tr 10 mkM;1,273595970132166;20,81308005640552;36,3507045769135;Tr 10 mkM
Tr 10 mkM;1,128558410042698;18,44287912917223;31,0743218478764;Tr 10 mkM
Tr Gln 5 mM;1,428906440293738;24,04007685924904;54,5658424275913;Tr Gln 5 mM
Tr Gln 5 mM;1,301438128385744;21,89553616086925;48,6075185483704;Tr Gln 5 mM
Tr Gln 5 mM;1,298367746950086;21,84387973073570;52,9836736509631;Tr Gln 5 mM
Tr Gln 5 mM;0,684899860908265;11,27951016316542;25,0047931849710;Tr Gln 5 mM
Tr Gln 5 mM;0,730043119731763;12,02296752936023;28,3960963970413;Tr Gln 5 mM
Tr Gln 5 mM;0,853100297287367;14,04957720489467;31,6012724409449;Tr Gln 5 mM
Tr Gln 5 mM;0,957425724447729;15,76769657255138;26,5664580783707;Tr Gln 5 mM
Tr Gln 5 mM;0,677016830186414;11,14968574616853;22,4793106816983;Tr Gln 5 mM
Tr Gln 5 mM;1,040688546524418;17,13893914600204;33,8934807062161;Tr Gln 5 mM
Tr His 1 mM;1,314161622443210;22,32199736005465;51,6184783403623;Tr His 1 mM
Tr His 1 mM;1,091208327984020;18,53497241172217;59,0382677165354;Tr His 1 mM
Tr His 1 mM;1,184480000356997;20,11926005863025;48,3240453324837;Tr His 1 mM
Tr His 1 mM;0,593893005179716;10,08770753098782;24,1043476645065;Tr His 1 mM
Tr His 1 mM;0,653757620067418;11,10455184667328;25,0985180953327;Tr His 1 mM
Tr His 1 mM;0,602157313008326;10,22808285043756;24,0251780467740;Tr His 1 mM
Tr His 1 mM;0,725249822677524;12,31889925333897;24,5306262337043;Tr His 1 mM
Tr His 1 mM;0,957258204315549;16,25973148791625;31,3612091591999;Tr His 1 mM
Tr His 1 mM;0,772979097037331;13,12961592487529;25,5060164957125;Tr His 1 mM
