Variant;CW.share.root;CW.share.shoot;treatment
10 mkM;0,604554809288901;0,5187582533609273;10 mkM
10 mkM;0,572563318886094;0,4637884786306988;10 mkM
10 mkM;0,593508660284169;0,4805277582020410;10 mkM
10 mkM;0,507851376009154;0,4952254185596668;10 mkM
10 mkM;0,568404250699860;0,4907187595847808;10 mkM
10 mkM;0,521537602900923;0,4893608283054487;10 mkM
Control;0,410943203208419;0,4107996360317814;Control
Control;0,415136290011568;0,4650274698827231;Control
Control;0,439968455818891;0,3989386875746172;Control
Control;0,421750102390842;0,3824601475038981;Control
Control;0,395045840116099;0,3837960429131856;Control
Control;0,400767104508648;0,3754362773008115;Control
Control;0,432436232319893;0,4020429628337543;Control
Control;0,396273738749947;0,3739114119739996;Control
Control;0,418946062978940;0,3891200457050862;Control
Control;0,409909708450164;0,4153897396494410;Control
Control;0,450952767792862;0,4041083728494605;Control
Control;0,398434303098464;0,3917649453782595;Control
Control;NA;0,3902038167663830;Control
Control;NA;0,3707451652259081;Control
Control;NA;0,3944184241464165;Control
Control;NA;0,3988335226978115;Control
Control;NA;0,4079473055138517;Control
Control;NA;0,3843308275404664;Control
Control;0,526460202243441;0,4588112821450575;Control
Control;0,515640230015918;0,4526546925700830;Control
Control;0,507069667079565;0,4522856009755327;Control
Control;0,484499138560352;0,4690270773923707;Control
Control;0,505771282532321;0,4665001071065339;Control
Control;0,490096828483223;0,4655837361968956;Control
Control;0,492752537977598;0,4653992363746098;Control
Control;0,495023029814812;0,4380720671945342;Control
Control;0,509545651879120;0,4563521789914102;Control
Control;0,472335934088259;0,4797967321144268;Control
Control;0,460073324188898;0,5079626676688930;Control
Control;0,479378259684257;0,4949433085522963;Control
Control;0,466874082673053;0,4801248406328322;Control
Control;0,457582927457896;0,0449835867309268;Control
Control;0,486283432525955;0,0452274461181359;Control
Control;0,475905421845352;0,4484142470762916;Control
Control;0,460852745682131;0,4955259669155982;Control
Control;0,469251697751262;0,4270226408117654;Control
Control;0,448367789381686;0,4445329394000237;Control
Control;0,468208418982545;0,4365445835406351;Control
Control;0,465027225171912;0,4635156548988079;Control
Control;0,434625661927390;0,4017404883609293;Control
Control;0,469007316081527;0,4149156784306037;Control
Control;0,451963444020232;0,4094519815087293;Control
Control;0,461534958342581;0,4143315891967102;Control
Control;0,435271975863142;0,4461283288266326;Control
Control;0,444498476413799;0,4306290314379526;Control
Control;0,489693240110436;0,4487935089019782;Control
Control;0,460292531182409;0,4101989010219638;Control
Control;0,496163286283962;0,4086802554147936;Control
Control;0,472707700848083;0,4254004964104983;Control
Control;0,477098963592685;0,3998892985359382;Control
Control;0,490831881094478;0,4395127141923381;Control
Control;0,437113214997898;0,4065393965003430;Control
Control;0,425016127961996;0,3907025420124778;Control
Control;0,434125548672545;0,4110130383883969;Control
Control;0,527858462233869;0,4223778969210546;Control
Control;0,517025762442840;0,4747175234543919;Control
Control;0,485741144093684;0,4584425903499968;Control
Control;0,484024248617399;0,4548536569680808;Control
Control;0,512073906746546;0,4524719803464173;Control
Control;0,471967132963095;0,4684421770522618;Control
Control;0,464807095221289;0,4566483351320973;Control
Control;0,461170975456009;0,4904489916586607;Control
Control;0,486103251238871;0,4324624637801844;Control
Control;0,416483282704182;0,4541047283590957;Control
Control;0,413852379990314;0,4550242819391253;Control
