Variant;mkM_Cu_per_FW;mkM_Cu_per_DW
10 mkM;0,861995167211458;15,57133929905794
10 mkM;0,781480982275963;14,11690690812767
10 mkM;0,807064854561564;14,57906165225645
10 mkM;0,560058425002969;10,29967637047032
10 mkM;0,547102730953874;10,06141648560242
10 mkM;0,679455889744070;12,49543879700905
10 mkM;0,940626435351612;15,09073621171908
10 mkM;0,898199097459516;14,41006241792361
10 mkM;0,786246928932477;12,61398208243959
10 mkM;0,905521723077661;14,77959971208154
10 mkM;0,909605095510108;14,84624704752236
10 mkM;1,081142801095402;17,64602375024218
10 mkM;0,836011705212607;14,51813927142830
10 mkM;0,950290310657688;16,50269606561142
10 mkM;0,910396487542174;15,80990184221778
10 mkM;1,426491361414619;25,34381173209314
10 mkM;1,094816944348648;19,45110588763868
10 mkM;1,030240462676958;18,30380542857016
10 mkM;0,902636183257104;16,03671926085646
10 mkM;0,730198390005719;12,97309680517831
10 mkM;0,836012656984879;14,85304990789451
10 mkM;0,584487830036121;10,38432473186885
10 mkM;0,625952065166523;11,12100060470277
10 mkM;0,663416841524617;11,78661994477568
10 mkM;0,789028040173527;14,01829596897786
10 mkM;0,782630293460822;13,90463016448562
10 mkM;0,728546531310670;12,94374899634629
10 mkM;0,936342769242518;16,42327210980173
10 mkM;1,058673528083906;18,56893009515250
10 mkM;0,944087367429474;16,55911087268165
10 mkM;0,653057874328051;11,60257696949377
10 mkM;0,660244028291463;11,73025004067586
10 mkM;0,607483702574094;10,79288175505311
100 mkM;6,621595649279908;117,64282493444422
100 mkM;6,652209688643538;118,18673040136642
100 mkM;6,397669131807149;113,66442614833102
100 mkM;6,815807088603970;121,09328968143488
100 mkM;6,418234801670287;114,02980688546980
100 mkM;6,357132453111479;112,94422974133100
100 mkM;5,530551413068093;54,26490311826933
100 mkM;5,912784905972553;58,01531820563430
100 mkM;5,973436416010403;58,61042131025489
100 mkM;9,363247496674804;166,35248426698723
100 mkM;8,604866205272863;152,87867489784239
100 mkM;9,125338360193746;162,12566276114833
100 mkM;6,179286391557078;102,70270039885662
100 mkM;6,469318225465720;107,52316843619327
100 mkM;6,178247253257150;102,68542942244804
100 mkM Gln 1 mM;6,265187691786739;104,13042116503010
100 mkM Gln 1 mM;6,394786016250514;106,28440740974968
100 mkM Gln 1 mM;5,495796112524978;91,34276449284721
100 mkM Gln 5 mM;5,510958500432327;91,59477064435156
100 mkM Gln 5 mM;6,235006491426260;103,62879515485918
100 mkM Gln 5 mM;5,835528736478035;96,98928347297431
100 mkM His 0.5 mM;5,270150059587563;51,70988587620954
100 mkM His 0.5 mM;5,904036355230737;57,92947879777559
100 mkM His 0.5 mM;5,298946392066714;51,99243097441625
100 mkM His 0.5 mM;8,234744295931488;146,30289025448613
100 mkM His 0.5 mM;8,356602678505389;148,46789173256568
100 mkM His 0.5 mM;8,294999960686706;147,37342475939468
